id,crop_label,soil_ph,temperature_c,soil_conductivity_dsm,moisture_paw_percent,data_origin,profile_version,generation_run_id
560592c2-9529-4e73-b929-be4516e5c9ec,Mango,6.53,25.2,0.76,72.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
62af2ba8-065d-4d53-8fc1-3377e2dbaa9f,Mango,6.26,24.8,3.24,62.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
3e6b35e8-9e55-4f5c-8360-07617674072c,Mango,6.38,27.8,1.78,63.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
53079a04-b933-40f1-9820-e87668ffa1e7,Mango,6.34,26.4,1.96,68.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
af39b9d9-898e-4d04-9666-77be9f883bc4,Mango,6.89,28.8,1.76,74.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
9e98d7c8-4a62-49b7-a15c-5097cd0149a9,Mango,6.02,28.0,1.4,64.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
811c3ce5-b4fb-45f5-bd94-3b499ab8a8a4,Mango,6.65,26.8,1.96,62.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
1854d57d-58e2-4fad-81df-9b02a4cc71e4,Mango,6.28,28.1,1.74,63.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
f7a82d0c-38e3-43bb-84c9-5be39255edd9,Mango,6.36,28.5,3.74,69.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
f5fc1dfb-6463-44d6-ae7f-f32da6d41f16,Mango,6.69,28.4,1.85,71.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
68ec9f98-a364-4d0c-ab2f-201cc06a7efc,Mango,6.21,26.7,1.14,70.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
0d9ab5d6-3500-4851-a947-cf45e56da597,Mango,6.33,25.0,2.43,61.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
dde87c54-3db5-4f67-bfc0-f7f2a7a7e8c1,Mango,6.51,24.2,2.28,72.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
e793db68-846b-4678-a683-6196d5727eef,Mango,6.03,28.6,0.97,69.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
66ae486c-a197-4432-b6d8-610b81c98c86,Mango,6.29,26.9,2.76,68.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
697256fc-05f6-4730-8f6c-adafc342fe55,Mango,6.63,25.7,1.65,69.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
3a9a4292-7282-48b6-a17a-94748d94d958,Mango,5.73,27.3,0.99,68.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
29c8ca72-2b50-4d9e-8e48-fd56d168a995,Mango,5.89,27.5,2.14,69.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
cb553aeb-07b3-46b3-bcf7-fce5adcf0e2a,Mango,6.31,27.4,1.9,68.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
d425026e-8ed4-4622-bd28-c0309e284759,Mango,6.62,26.2,0.35,56.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
1dc25bd4-1403-4e4f-8b91-01b6fbe56cca,Mango,7.31,27.9,3.57,55.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
83fd7eb6-4477-42ac-a595-1b702ea2317d,Mango,6.3,25.4,1.59,70.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
ae77f76e-3596-44f8-ab0b-48e4fe88f2c1,Mango,5.84,26.4,1.76,54.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
4ccd5835-f36b-4a06-a24d-c550552cb987,Mango,5.78,25.7,1.9,61.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
b92419a1-6061-4792-8641-7880f58067f6,Mango,6.29,28.0,2.57,69.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
f951ea22-fc97-46c6-b980-7296008d9c6d,Mango,7.2,25.9,2.75,70.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
bf23f73f-6776-4098-8553-5cca2e09caaf,Mango,5.8,25.0,2.34,66.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a21ff94e-0526-4b58-ad40-67184bff5619,Mango,6.32,27.4,0.35,65.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
ab752af7-a86a-4064-96e9-6d1dabe3eebc,Mango,6.58,27.4,0.86,60.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a58f7345-4bdf-4e98-a584-3d40cb099b4a,Mango,6.14,25.3,2.58,78.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
ba7f8a19-f278-4874-9c56-5fc1190fa7e4,Mango,6.89,28.2,1.97,67.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
3afaba61-b446-4682-ba59-2d26103cd911,Mango,6.89,27.0,2.01,76.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
fcc8c442-8c53-49a9-9ee3-83c3de4ba65f,Mango,5.89,26.3,2.47,53.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
39dd9fe9-e6e0-469c-a28a-8b31806407d2,Mango,6.68,24.4,2.39,56.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
e4277102-10eb-4961-990c-2f89eb4585f4,Mango,6.72,27.8,2.82,63.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
8ef82f7e-953d-4be9-b7df-131331f4c89a,Mango,6.34,27.3,1.99,71.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
511d17d4-4eeb-454e-a90e-f2842ea8ea72,Mango,6.06,27.4,1.91,67.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
631ef800-e526-4d5b-b199-765081d0fe0d,Mango,7.04,28.0,1.87,59.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
3feaa844-1853-480c-93ee-047c92a5fda1,Mango,5.92,24.7,2.31,70.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
c26ae486-1ba1-46ba-b1f4-70266807bee2,Mango,6.17,26.4,2.84,59.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
0085acc0-06a0-4afd-a99c-4b34bd0823a6,Mango,6.7,28.7,2.09,60.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
c085e40d-b351-4d3f-a6d0-793d324d6f85,Mango,6.86,25.4,3.43,59.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a2479cd9-9854-45d1-80d9-6bcf77be8a4c,Mango,7.08,27.0,1.75,64.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
1278a9fa-849d-47b8-9f16-bdeb94fc3441,Mango,6.08,25.1,3.63,63.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
cb4cb838-5f21-4950-979a-7461bc283c2d,Mango,7.0,27.8,0.98,71.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
1dab8c07-1bde-4653-bf60-fad415e10625,Mango,6.51,27.0,1.47,55.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
2c6af144-d5c9-4626-ad37-67e2658ff558,Mango,6.5,27.9,0.54,62.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
92500684-7e13-4217-8e1b-0c8e54f63d0b,Mango,6.36,27.6,0.89,62.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
6fad51fd-2842-4a7a-8e0b-7d7acb14c5f3,Mango,7.01,28.8,2.59,72.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
ff0b1e53-e6a9-4dc0-9343-7346830fd67b,Mango,5.84,29.1,2.03,69.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
dea4fa59-8289-4186-860f-c859ab93facf,Mango,5.84,24.9,2.72,73.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a815e19e-e9ac-4366-b35a-c23df3285225,Mango,7.09,27.4,1.8,59.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
f2aa0975-5a88-4ab4-921b-c147455ffc89,Mango,6.72,28.9,0.82,74.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
0a4bc415-e30e-4103-9795-48a4be236c5f,Mango,7.18,26.9,1.68,67.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
8ce334ba-ba42-464c-809b-e55f4f95ed1f,Mango,6.89,29.4,3.19,60.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
5cd459ce-997d-45a9-b2ad-186fa937645d,Mango,6.27,26.6,1.51,56.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
462bc806-f387-4793-94d7-d391f82a19ea,Mango,6.96,28.0,2.1,74.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
6c9b218a-9b1f-4729-8114-1f64452f476d,Mango,6.8,29.3,2.41,60.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
6b56fe4c-0ebd-4dca-a529-152e4241317e,Mango,6.18,25.4,0.31,62.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
71b8ecf9-9a35-4ef0-bc80-6c5be1a2af09,Mango,6.43,26.8,1.89,62.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
77ba7ff1-4fff-434c-afb9-7961d50f023c,Mango,6.07,29.1,1.97,67.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
5f4f7219-b046-49c9-acbd-160092927b42,Mango,7.13,28.0,1.69,58.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
1a8ab9a0-c113-4863-b1f6-3bf7d6816a84,Mango,7.34,27.5,1.63,73.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
400b454b-1f5d-4ed0-8df3-1a17bb7e6839,Mango,7.32,28.3,2.68,63.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
83a1b701-5b4f-46d2-8a71-06f49ebb0c2b,Mango,5.96,27.5,0.92,76.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
babaf752-d413-4ef6-a82a-10e4fbaa248c,Mango,6.68,27.7,3.28,61.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
f387f0d7-a322-4984-8a86-03590df2e99e,Mango,7.3,27.5,3.26,70.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a9f4d65d-9ffb-4179-9c53-25ae9c26e785,Mango,6.23,26.4,3.01,55.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a26b82ce-c528-417c-96e5-bec19ca99825,Mango,6.85,27.2,0.5,73.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
231712ec-a386-408d-a550-826cc59adb43,Mango,6.0,29.4,1.39,77.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
59ea7d3c-6824-43ce-9748-ed7ec8fd0173,Mango,6.7,26.0,2.9,50.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
279795c4-3e07-43eb-b1a2-d623570305f3,Mango,6.37,28.8,2.71,64.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
360fdb0f-3d83-48d9-8ee8-2ccc21511d23,Mango,6.45,27.2,2.87,63.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a15b5f76-8d67-42f0-97b1-50c7c7a0e971,Mango,6.77,28.2,1.68,52.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
e169aa29-9cef-4edc-b988-af318f67c6f2,Mango,6.5,28.4,2.05,62.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
31fa63dc-bfcd-47f0-9647-298db65a9d43,Mango,6.9,27.9,2.1,60.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
dbda3eb5-ffc8-4a01-aa21-cd6e87d70bf0,Mango,6.67,26.5,1.2,60.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
2650a4d5-c7e7-41a6-bea8-aaff3c885664,Mango,5.74,29.0,2.13,72.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
368fdb2d-5a7f-49fa-9428-26686d9e1cf3,Mango,6.61,28.2,2.0,59.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
c8a4badd-5deb-41a4-b963-fc98717ef595,Mango,6.87,27.4,1.25,76.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
5d9b721f-2558-4cfe-b49a-3ece7532ab1f,Mango,6.88,27.5,3.33,59.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
2aeda085-9069-4cb6-ad25-db9b4d4ebdcb,Mango,6.87,26.1,1.9,67.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
8188397f-894a-44d5-9396-d25e016664c2,Mango,6.79,27.9,1.43,54.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
9d7c04c1-e4b7-4df4-b211-5fe9d8739183,Mango,6.23,28.9,2.49,62.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
bc534837-463e-4f3e-befc-e427748dd982,Mango,6.48,25.7,1.65,58.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
04013b27-b850-43b3-b3ad-0c638f4b2121,Mango,6.28,25.8,2.5,66.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
ab0a283b-39e1-42a0-b198-b1c6f2676cc9,Mango,6.85,27.9,2.74,70.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
b0059bdb-6eae-40fc-bb78-ebe76224777f,Mango,6.61,25.9,2.86,62.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
c1bc8e47-b5a1-49a5-ab3d-1c2f532fa67b,Mango,6.95,26.9,2.33,53.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
81904f4a-2f3e-44f4-a35d-85601d922561,Mango,6.31,26.9,3.63,62.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
276aa28b-3db2-4a8c-b2c5-f15c16724d29,Mango,6.58,26.0,3.67,67.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
1da1a1bc-2210-4561-80b2-0ee50da707f2,Mango,6.33,28.5,2.18,56.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
c6875e99-c6f6-492c-becb-cfd1ba4c2919,Mango,7.26,28.0,3.54,67.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
e034b4f4-bb83-452a-a823-f11e892fe929,Mango,7.27,27.6,2.24,54.9,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
525baaa2-104f-4130-bea3-17b0d6a15ccc,Mango,5.75,26.8,1.25,59.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
d2612572-afb0-418b-96a5-52cae8da7264,Mango,6.07,27.9,1.05,65.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
724a68e3-524a-419a-87e7-09f0bc3cbdf1,Mango,5.98,24.5,2.71,62.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
50b3dcf3-e0f6-4e02-81ef-265781dc291d,Mango,5.66,25.4,2.62,69.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
667d2a4a-4d40-49b4-a155-c73ad4276cd5,Mango,7.03,27.2,3.08,51.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
b4500a97-5bab-4f92-ae87-7d86a28241a6,Mango,6.96,26.9,2.81,64.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
f95123ee-9deb-4dc3-a94d-216e3b03e8ba,Mango,6.89,27.8,1.07,62.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
8d96e22f-76dc-427e-a6c0-29ae576ac87f,Mango,6.7,27.0,1.37,69.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
5896dd37-5218-4875-9c31-a76326395240,Mango,6.68,26.1,2.44,68.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
142060a6-6f11-489d-be4f-e7f7c844788d,Mango,7.24,28.7,3.79,65.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
cb7acc1a-0536-4a84-a6e2-b8c74995059a,Mango,6.42,26.5,3.78,70.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
0dd1d295-0f4d-4bb0-b1ee-3c07d11d09a4,Mango,5.97,26.5,2.63,50.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
b8fdc3a9-9155-4314-8c70-4cf31322aa4b,Mango,6.82,29.4,1.56,56.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
520a1d38-398b-49c1-92c7-f314d1472533,Mango,6.59,25.0,1.35,59.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
8dea0cc1-4c17-47a7-8d4e-711be20eaf27,Mango,5.84,26.6,1.34,70.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
0f62c72a-0f24-49ef-a49c-e107bc14821a,Mango,6.23,27.4,1.07,67.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
ab3ef467-f6b0-47bb-9439-393005237ae7,Mango,6.71,26.5,3.55,54.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
6cc174d1-30c0-4fea-b608-c34d3834cb10,Mango,7.31,26.1,1.46,63.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
697152dc-38c5-4d28-91e7-ef1c02fb58ce,Mango,6.33,26.8,1.58,67.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
3c43bca8-123d-4882-aa6f-ca5ca08c5252,Mango,6.13,26.2,3.45,59.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
8badd310-59cc-4aa8-b129-17fd1b0cffcd,Mango,7.0,28.4,0.53,54.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
7e5d7593-a62d-4085-aa44-55bf0adfc9a7,Mango,6.21,24.3,2.67,61.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a3339d84-de90-40bb-bdae-9cb2fb8189b1,Mango,5.71,27.4,1.48,76.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
35f916f1-877c-4ce8-bb09-94227954d6fe,Mango,6.8,26.4,2.05,77.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
c8520e5d-18b7-42e0-be37-7bcf870b019d,Mango,6.62,27.4,3.31,63.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
b81d48f3-d174-411f-aaeb-733e91d8500b,Mango,6.63,27.8,1.01,63.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
494b0911-247e-4f90-be7d-03d4aab0b0f2,Mango,6.96,25.6,1.38,67.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a34193bb-06a7-4f75-bc23-bb6aead631e9,Mango,6.74,27.3,0.85,65.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
4b0056ec-59f3-4a03-b8bc-d68577b2480e,Mango,6.66,24.9,2.76,56.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
8ce4f9d2-de5f-401f-9a76-2a21704d8233,Mango,6.4,25.2,1.47,55.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
80330acf-d62d-42d8-ad3d-e52d3da616f5,Mango,6.11,28.0,3.51,72.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
28a451b2-11b5-4bad-8a6c-5042fbbcace7,Mango,5.72,26.6,1.57,55.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
9880dacb-29fd-49b5-9b6f-c539f5e1e560,Mango,6.77,28.8,2.6,76.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
fd1f609c-b949-40a7-9847-72ba6014c835,Mango,6.59,27.1,0.87,53.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
a63e0adb-3799-4601-8f38-3b773abe07e5,Mango,6.12,26.4,2.21,76.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
d78c792d-cfb7-40e8-b91f-7c4a3240d491,Mango,5.8,26.7,2.56,61.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
298de342-a1bf-425a-879c-782757e00023,Mango,6.43,26.4,1.83,52.5,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
6cbd9f3d-cdfb-48dc-a363-646ea2f6ae1b,Mango,6.86,26.2,1.59,71.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
ab30d6ae-87eb-4317-82e1-0fa6c95d6760,Mango,6.8,25.4,1.95,66.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
fef39ec6-0e77-496a-99dd-b222ccddd606,Mango,6.03,27.9,1.0,66.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
63266a4e-c3fc-4bca-9d64-57d74dfd9841,Mango,6.28,27.6,2.37,63.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
7c0a04c3-ba0c-4704-8c20-42a091af03cf,Mango,6.05,28.6,2.23,63.3,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
c29b47df-643a-4a7c-b2dc-0021dfa227c2,Mango,5.82,27.1,0.26,59.7,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
c4bc7d17-f042-4b3d-97a8-bacec6993836,Mango,7.29,28.5,2.4,62.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
1753827e-54bf-4540-ac94-3d89d218dac1,Mango,6.21,26.5,2.32,65.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
2b8ad116-f185-4f7e-a4db-0cd967b40c7a,Mango,7.03,26.8,2.64,54.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
2c2cc3ec-162c-429a-ac9b-c6105fcb88c8,Mango,6.22,28.8,1.66,70.0,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
2a1693ac-6d32-4a5e-8636-ed612053c66a,Mango,6.78,28.2,2.4,59.4,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
5397b6f9-572c-442b-8314-5b6a370638c4,Mango,6.87,28.2,0.79,52.2,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
2f205ee7-a1ba-4ee3-8f28-f052e835dea2,Mango,6.59,25.2,3.16,62.8,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
c16e8310-e93c-41b9-9d0c-553d7fa9bb6f,Mango,6.79,27.4,2.37,65.6,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
1caaae8d-cee3-4367-8b15-2da978d793f6,Mango,6.81,28.4,1.86,59.1,reference_generated,reference_v1,960db350-9ee8-4235-9b3e-f185b67d7d69
